RAVE_OBS_ID,RAVEID,RA,DEC,HRV,eHRV,StdDev_HRV,MAD_HRV,CorrelationCoeff,PeakHeight,PeakWidth,CorrectionRV,SkyRV,eSkyRV,SkyCorrelationCoeff,Vrot_SPARV,ZeroPointFLAG,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,TEFF,LOGG,FE_H,O_H,MG_H,AL_H,SI_H,CA_H,NI_H,E_TEFF,E_LOGG,E_FE_H,E_O_H,E_MG_H,E_AL_H,E_SI_H,E_CA_H,E_NI_H,SNR,R_CHI_SQ,QC
20031003_2024m65_134,J203907.4-662707,309.780666666667,-66.4519166666667,6.379,3.619,0.407139042588647,0.29104,14.75,0.802,62.555,3.991,5.29,6.734,2.65,nan,ABC,n,n,n,n,n,b,n,n,n,n,n,n,n,n,n,n,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,70.88197997912422,8.611109260529645,False
20060731_2056m66_035,J203900.9-662717,309.753791666667,-66.4546944444444,6.422,1.335,1.31719525254737,0.9542,54.14,0.928,76.945,-0.846,-1.086,4.784,4.46,39.0,BAC*,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6013.325468217557,3.8844897110039183,0.011735409482600337,nan,nan,nan,nan,nan,nan,129.00241724986162,0.1676715950231419,0.06902720692569667,nan,nan,nan,nan,nan,nan,30.487037675747924,0.5609627947923699,True
20060819_2237m64_070,J222944.4-624415,337.434791666667,-62.7375277777778,19.028,1.305,0.74257380852755,0.546148148148146,45.84,0.934,61.715,-0.804,1.454,10.636,1.11,25.0,CCS,n,n,n,e,n,n,n,n,n,n,n,n,n,e,n,n,n,n,n,n,5302.561983120913,3.7667209553581764,0.07073820976883474,nan,nan,nan,nan,nan,nan,96.86949681943136,0.14230466061452143,0.06778924512374784,nan,nan,nan,nan,nan,nan,37.70474306109135,0.8455927042223602,True
20110707_2237m64a_066,J222948.4-624422,337.451833333333,-62.7393333333333,19.004,1.413,nan,nan,48.34,0.952,70.656,0.0,-0.573,5.769,3.66,32.0,EAC,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,6236.135794203288,4.470075086885352,0.11543489053067447,nan,nan,nan,nan,nan,nan,92.23038265682169,0.13180771778556474,0.06440742809019233,nan,nan,nan,nan,nan,nan,39.58060054628614,0.8285033772560314,True
20080725_2105m46_128,J211626.1-475608,319.108875,-47.9354444444444,4.301,2.237,1.58655406113025,1.22818,29.42,0.897,75.608,-1.46,-6.028,8.58,1.9,52.0,ECS*,e,e,n,e,n,e,n,n,n,e,n,n,e,e,n,n,e,e,e,e,4323.350862514868,4.7206310533831575,-0.06425521769426808,nan,nan,nan,nan,nan,nan,95.3856411039824,0.13286316231621167,0.08728013113860236,nan,nan,nan,nan,nan,nan,24.789406253864065,0.9104517648034454,True
20070911_2105m46_127,J211448.7-474336,318.70275,-47.7266388888889,3.641,2.842,0.702108293324866,0.5069,22.49,0.925,71.926,-0.397,1.193,5.749,3.01,46.0,CCS,e,e,n,n,n,n,n,n,n,n,e,n,n,n,n,e,e,e,n,e,4206.454273870563,4.934589283718936,-0.0763993948860775,nan,nan,nan,nan,nan,nan,83.55684679112069,0.12431831845130362,0.07366552623357903,nan,nan,nan,nan,nan,nan,34.59161147875763,1.090282154799996,True
20060816_0127m27_125,J013213.7-273339,23.0569166666667,-27.5608888888889,17.343,1.069,0.499847810171589,0.3665,60.91,0.969,68.966,0.638,0.144,6.769,2.58,30.0,CCS,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5861.9184856775155,4.196161723679301,-0.184255432150474,nan,nan,nan,nan,nan,nan,96.20244559195324,0.1476410494684832,0.06791499000606048,nan,nan,nan,nan,nan,nan,43.49040481082135,0.35171525170399615,True
20080902_0127m27_125,J013235.7-273325,23.1489166666667,-27.5568888888889,16.955,0.897,0.792536119050735,0.522666666666667,75.08,0.969,71.492,-3.461,-1.903,9.025,1.24,32.0,EAC*,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,5825.598598358825,4.195251411734149,-0.10406215913814636,nan,nan,nan,nan,nan,nan,95.9230883246193,0.1469391701180279,0.06768972640586676,nan,nan,nan,nan,nan,nan,43.55654497266739,0.32303616949034814,True
20030617_1543m18_139,J154843.6-201228,237.181625,-20.2077222222222,-26.487,4.033,0.684626175368719,0.416222222222222,13.92,0.812,64.226,-0.5,-6.138,8.228,2.1,nan,AAS,n,n,n,n,n,e,n,e,n,e,e,n,n,n,e,e,n,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.14294175778954,8.610527533949524,False
20030618_1543m18_120,J154759.6-182953,236.99825,-18.4981388888889,-23.525,7.468,nan,nan,8.26,0.742,69.954,-2.917,-4.465,5.944,3.17,nan,AAC,c,n,n,n,n,c,n,n,n,n,n,n,n,n,n,n,e,n,n,n,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,55.7136887003237,10.901497973257088,False
